Argentina,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Agustin Orion,Goalkeeper,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Estudiantes,Estudiantes,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,,,,,,,,,,,,
Augusto Fernandez,Midfielder,Celta,Celta,Celta,Velez Sarsfield,Velez Sarsfield,Saint-Etienne,River Plate,River Plate,River Plate,River Plate,,,,,,,,,,,,,,,
Javier Mascherano,Midfielder,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Liverpool,Liverpool,Liverpool,West Ham,Corinthians,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,,,,,,,,,
Martin Demichelis,Defender,Manchester City,Atletico Madrid,Malaga,Malaga,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,River Plate,River Plate,River Plate,River Plate,River Plate,Club Renato Cesarini,Club Renato Cesarini,Club Renato Cesarini,Complejo Deportivo,,,,
Marcos Rojo,Defender,Sporting CP,Sporting CP,Sporting CP,Spartak Moscow,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,,,,,,,,,,
Federico Fernandez,Defender,Napoli,Getafe,Napoli,Napoli,Estudiantes,Estudiantes,Estudiantes,,,,,,,,,,,,,,,,,,
Rodrigo Palacio,Forward,Internazionale,Internazionale,Internazionale,Genoa,Genoa,Genoa,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Banfield,Huracan de Tres Arroyos,Huracan de Tres Arroyos,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista,Bella Vista
Ricardo Alvarez,Midfielder,Internazionale,Internazionale,Internazionale,Internazionale,Velez Sarsfield,Velez Sarsfield,Velez Sarsfield,Velez Sarsfield,Velez Sarsfield,Boca Juniors,,,,,,,,,,,,,,,
Sergio Aguero,Forward,Manchester City,Manchester City,Manchester City,Manchester City,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Independiente,Independiente,Independiente,Independiente,Independiente,Independiente,Independiente,Independiente,Independiente,,,,,,,
Mariano Andujar,Goalkeeper,Catania,Catania,Catania,Catania,Catania,Catania,Estudiantes,Estudiantes,Estudiantes,Palermo,Huracan,Huracan,Huracan,Huracan,,,,,,,,,,,
Ezequiel Lavezzi,Forward,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Napoli,Napoli,Napoli,Napoli,Napoli,San Lorenzo,San Lorenzo,San Lorenzo,Estudiantes,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,,,,,
Jose Maria Basanta,Defender,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Estudiantes,Olimpo,Estudiantes,Estudiantes,Estudiantes,,,,,,,,,,,,,
